customer_id,campaign_id,exposed_date
C-0190,CMP-MONSOON-26,2026-08-03
C-0195,CMP-MONSOON-26,2026-08-03
C-0196,CMP-MONSOON-26,2026-08-03
C-0197,CMP-MONSOON-26,2026-08-03
C-0199,CMP-MONSOON-26,2026-08-03
C-0200,CMP-MONSOON-26,2026-08-03
C-0203,CMP-MONSOON-26,2026-08-03
C-0205,CMP-MONSOON-26,2026-08-03
C-0206,CMP-MONSOON-26,2026-08-03
C-0208,CMP-MONSOON-26,2026-08-03
C-0210,CMP-MONSOON-26,2026-08-03
C-0216,CMP-MONSOON-26,2026-08-03
C-0219,CMP-MONSOON-26,2026-08-03
C-0220,CMP-MONSOON-26,2026-08-03
C-0222,CMP-MONSOON-26,2026-08-03
C-0223,CMP-MONSOON-26,2026-08-03
C-0231,CMP-MONSOON-26,2026-08-03
C-0232,CMP-MONSOON-26,2026-08-03
C-0233,CMP-MONSOON-26,2026-08-03
C-0235,CMP-MONSOON-26,2026-08-03
C-0239,CMP-MONSOON-26,2026-08-03
C-0240,CMP-MONSOON-26,2026-08-03
C-0241,CMP-MONSOON-26,2026-08-03
C-0244,CMP-MONSOON-26,2026-08-03
C-0245,CMP-MONSOON-26,2026-08-03
C-0249,CMP-MONSOON-26,2026-08-03
C-0250,CMP-MONSOON-26,2026-08-03
C-0252,CMP-MONSOON-26,2026-08-03
C-0253,CMP-MONSOON-26,2026-08-03
C-0255,CMP-MONSOON-26,2026-08-03
C-0256,CMP-MONSOON-26,2026-08-03
C-0258,CMP-MONSOON-26,2026-08-03
C-0261,CMP-MONSOON-26,2026-08-03
C-0262,CMP-MONSOON-26,2026-08-03
C-0265,CMP-MONSOON-26,2026-08-03
C-0268,CMP-MONSOON-26,2026-08-03
C-0001,CMP-MONSOON-26,2026-08-11
C-0002,CMP-MONSOON-26,2026-08-11
C-0003,CMP-MONSOON-26,2026-08-11
C-0006,CMP-MONSOON-26,2026-08-11
C-0007,CMP-MONSOON-26,2026-08-11
C-0009,CMP-MONSOON-26,2026-08-11
