customer_id,segment,exposed,august_revenue,campaign_id
C-6120,Retail-Core,no,2000,
C-6121,Retail-Core,no,2000,
C-6122,Retail-Core,no,2000,
C-6123,Retail-Core,no,2000,
C-6124,Retail-Core,no,2000,
C-6125,Retail-Core,no,2000,
C-6126,Retail-Core,no,2000,
C-6127,Retail-Core,no,2000,
C-6128,Retail-Core,no,2000,
C-6129,Retail-Core,no,2000,
C-6130,Retail-Core,no,2000,
C-6131,Retail-Core,no,2000,
C-6132,Retail-Core,no,2000,
C-6133,Retail-Core,no,2000,
C-6134,Retail-Core,no,2000,
C-6135,Retail-Core,no,2000,
C-6136,Retail-Core,no,2000,
C-6137,Retail-Core,no,2000,
C-6138,Retail-Core,no,2000,
C-6139,Retail-Core,no,2000,
C-6140,Retail-Core,no,2000,
C-6141,Retail-Core,no,2000,
C-6142,Retail-Core,no,2000,
C-6143,Retail-Core,no,2000,
C-6144,Retail-Core,no,2000,
C-6145,Retail-Core,no,2000,
C-6146,Retail-Core,no,2000,
C-6147,Retail-Core,no,2000,
C-6148,Retail-Core,no,2000,
C-6149,Retail-Core,no,2000,
C-6150,Retail-Core,no,2000,
C-6151,Retail-Core,no,2000,
C-6152,Retail-Core,no,2000,
C-6153,Retail-Core,no,2000,
C-6154,Retail-Core,no,2000,
C-6155,Retail-Core,no,2000,
C-6156,Retail-Core,no,2000,
C-6157,Retail-Core,no,2000,
C-6158,Retail-Core,no,2000,
C-6159,Retail-Core,no,2000,
