order_id,customer_id,segment,channel,city,order_date,amount,status,quarter,discount
KR-02055,C-3017,Retail-Plus,app,Bengaluru,2026-06-20,1810,delivered,Q1,100
KR-02056,C-3018,Retail-Plus,store,Delhi,2026-04-14,3100,delivered,Q1,
KR-02057,C-3019,Retail-Plus,web,Hyderabad,2026-05-26,1520,delivered,Q1,50
KR-02058,C-3020,Retail-Plus,app,Bengaluru,2026-06-10,4050,returned,Q1,0
KR-02059,C-3021,Retail-Plus,store,Delhi,2026-04-05,3660,cancelled,Q1,100
KR-02060,C-3000,Retail-Plus,web,Hyderabad,2026-05-19,4410,delivered,Q1,
KR-02061,C-3001,Retail-Plus,app,Bengaluru,2026-06-21,3840,delivered,Q1,100
KR-02062,C-3002,Retail-Plus,store,Delhi,2026-04-26,3190,delivered,Q1,150
KR-02063,C-3003,Retail-Plus,web,Hyderabad,2026-05-14,1790,delivered,Q1,100
KR-02064,C-3004,Retail-Plus,app,Bengaluru,2026-06-01,3150,returned,Q1,
KR-02065,C-3005,Retail-Plus,store,Delhi,2026-04-06,3570,cancelled,Q1,50
KR-02066,C-3006,Retail-Plus,web,Hyderabad,2026-05-03,2600,delivered,Q1,100
KR-02067,C-3007,Retail-Plus,app,Bengaluru,2026-06-19,2720,delivered,Q1,0
KR-02068,C-3008,Retail-Plus,store,Delhi,2026-04-02,1800,delivered,Q1,
KR-02069,C-3009,Retail-Plus,web,Hyderabad,2026-05-17,3070,delivered,Q1,150
KR-02070,C-3010,Retail-Plus,app,Bengaluru,2026-06-10,1290,returned,Q1,0
KR-02071,C-3011,Retail-Plus,store,Delhi,2026-04-15,1970,cancelled,Q1,100
KR-02072,C-3012,Retail-Plus,web,Hyderabad,2026-05-20,3040,delivered,Q1,
KR-02073,C-3013,Retail-Plus,app,Bengaluru,2026-06-21,3060,delivered,Q1,0
KR-02074,C-3014,Retail-Plus,store,Delhi,2026-04-06,2500,delivered,Q1,150
KR-02075,C-3015,Retail-Plus,web,Hyderabad,2026-05-23,4250,delivered,Q1,0
KR-02076,C-3016,Retail-Plus,app,Bengaluru,2026-06-18,3650,returned,Q1,
KR-02077,C-3017,Retail-Plus,store,Delhi,2026-04-18,4380,cancelled,Q1,0
KR-02078,C-5000,Student,app,Bengaluru,2026-04-15,1010,delivered,Q1,
KR-02079,C-5003,Student,store,Delhi,2026-05-24,680,delivered,Q1,
KR-02080,C-5000,Student,web,Hyderabad,2026-06-26,930,delivered,Q1,
KR-02081,C-5003,Student,app,Bengaluru,2026-04-23,1360,delivered,Q1,
KR-02082,C-5000,Student,store,Delhi,2026-05-20,830,returned,Q1,
KR-02083,C-4000,Business,store,Pune,2026-04-11,418000,cancelled,Q1,100
KR-02084,C-4003,Business,web,Mumbai,2026-05-05,1572000,delivered,Q1,
KR-02085,C-4006,Business,app,Chennai,2026-06-17,381000,delivered,Q1,150
KR-02086,C-4009,Business,store,Pune,2026-04-05,983000,delivered,Q1,0
KR-02087,C-4001,Business,web,Mumbai,2026-05-13,1771000,delivered,Q1,0
KR-02088,C-4004,Business,app,Chennai,2026-06-16,1540000,returned,Q1,
KR-02089,C-4007,Business,store,Pune,2026-04-19,853000,cancelled,Q1,0
KR-02090,C-4010,Business,web,Mumbai,2026-05-06,340000,delivered,Q1,50
KR-02091,C-4002,Business,app,Chennai,2026-06-13,1066000,delivered,Q1,100
KR-02092,C-4005,Business,store,Pune,2026-04-22,753000,delivered,Q1,
KR-02093,C-4008,Business,web,Mumbai,2026-05-05,663000,delivered,Q1,100
KR-02094,C-4000,Business,app,Chennai,2026-06-22,1628000,returned,Q1,100
KR-02095,C-4003,Business,store,Pune,2026-04-04,1784000,cancelled,Q1,150
KR-02096,C-4006,Business,web,Mumbai,2026-05-18,968000,delivered,Q1,
KR-02097,C-4009,Business,app,Chennai,2026-06-14,841000,delivered,Q1,150
KR-02098,C-4001,Business,store,Pune,2026-04-19,1421000,delivered,Q1,0
KR-02099,C-4004,Business,web,Mumbai,2026-05-26,1387000,delivered,Q1,150
KR-02100,C-4007,Business,app,Chennai,2026-06-20,434620,returned,Q1,
KR-02101,C-2000,Retail-Core,store,Pune,2026-07-22,2870,cancelled,Q2,0
KR-02102,C-2003,Retail-Core,web,Mumbai,2026-08-24,1610,delivered,Q2,0
KR-02103,C-2006,Retail-Core,app,Chennai,2026-09-28,2810,delivered,Q2,0
KR-02104,C-2009,Retail-Core,store,Pune,2026-07-13,2950,delivered,Q2,
KR-02105,C-2012,Retail-Core,web,Mumbai,2026-08-27,1080,delivered,Q2,150
KR-02106,C-2015,Retail-Core,app,Chennai,2026-09-05,2870,returned,Q2,150
KR-02107,C-2018,Retail-Core,store,Pune,2026-07-06,1480,cancelled,Q2,50
KR-02108,C-2021,Retail-Core,web,Mumbai,2026-08-04,2650,delivered,Q2,
KR-02109,C-2024,Retail-Core,app,Chennai,2026-09-25,1890,delivered,Q2,150
KR-02110,C-2027,Retail-Core,store,Pune,2026-07-02,1030,delivered,Q2,0
KR-02111,C-2030,Retail-Core,web,Mumbai,2026-08-10,1890,delivered,Q2,50
KR-02112,C-2033,Retail-Core,app,Chennai,2026-09-01,1070,returned,Q2,
KR-02113,C-2002,Retail-Core,store,Pune,2026-07-02,2030,cancelled,Q2,100
KR-02114,C-2005,Retail-Core,web,Mumbai,2026-08-04,2140,delivered,Q2,50
KR-02115,C-2008,Retail-Core,app,Chennai,2026-09-11,1370,delivered,Q2,150
KR-02116,C-2011,Retail-Core,store,Pune,2026-07-06,2870,delivered,Q2,
KR-02117,C-2014,Retail-Core,web,Mumbai,2026-08-24,2220,delivered,Q2,0
KR-02118,C-2017,Retail-Core,app,Chennai,2026-09-06,2950,returned,Q2,150
KR-02119,C-2020,Retail-Core,store,Pune,2026-07-28,1850,cancelled,Q2,150
KR-02120,C-2023,Retail-Core,web,Mumbai,2026-08-17,1650,delivered,Q2,
KR-02121,C-2026,Retail-Core,app,Chennai,2026-09-16,1880,delivered,Q2,150
KR-02122,C-2029,Retail-Core,store,Pune,2026-07-04,1770,delivered,Q2,50
KR-02123,C-2032,Retail-Core,web,Mumbai,2026-08-19,2510,delivered,Q2,0
KR-02124,C-2001,Retail-Core,app,Chennai,2026-09-28,1790,returned,Q2,
KR-02125,C-2004,Retail-Core,store,Pune,2026-07-20,890,cancelled,Q2,0
KR-02126,C-2007,Retail-Core,web,Mumbai,2026-08-08,2450,delivered,Q2,150
KR-02127,C-2010,Retail-Core,app,Chennai,2026-09-27,1060,delivered,Q2,0
KR-02128,C-2013,Retail-Core,store,Pune,2026-07-22,2420,delivered,Q2,
KR-02129,C-2016,Retail-Core,web,Mumbai,2026-08-12,1440,delivered,Q2,150
KR-02130,C-2019,Retail-Core,app,Chennai,2026-09-10,2390,returned,Q2,50
KR-02131,C-2022,Retail-Core,store,Pune,2026-07-28,2280,cancelled,Q2,0
KR-02132,C-2025,Retail-Core,web,Mumbai,2026-08-25,2480,delivered,Q2,
KR-02133,C-2028,Retail-Core,app,Chennai,2026-09-21,2130,delivered,Q2,0
KR-02134,C-2031,Retail-Core,store,Pune,2026-07-17,2280,delivered,Q2,0
KR-02135,C-2000,Retail-Core,web,Mumbai,2026-08-23,970,delivered,Q2,0
KR-02136,C-2003,Retail-Core,app,Chennai,2026-09-09,2490,returned,Q2,
KR-02137,C-3000,Retail-Plus,store,Pune,2026-07-26,3350,cancelled,Q2,150
KR-02138,C-3001,Retail-Plus,web,Mumbai,2026-08-22,2110,delivered,Q2,0
KR-02139,C-3002,Retail-Plus,app,Chennai,2026-09-18,2730,delivered,Q2,0
KR-02140,C-3003,Retail-Plus,store,Pune,2026-07-16,1780,delivered,Q2,
KR-02141,C-3004,Retail-Plus,web,Mumbai,2026-08-08,2540,delivered,Q2,50
KR-02142,C-3005,Retail-Plus,app,Chennai,2026-09-15,3890,returned,Q2,50
KR-02143,C-3006,Retail-Plus,store,Pune,2026-07-12,3120,cancelled,Q2,0
KR-02144,C-3007,Retail-Plus,web,Mumbai,2026-08-18,2190,delivered,Q2,
KR-02145,C-3008,Retail-Plus,app,Chennai,2026-09-11,2720,delivered,Q2,100
KR-02146,C-3009,Retail-Plus,store,Pune,2026-07-25,2440,delivered,Q2,100
KR-02147,C-3010,Retail-Plus,web,Mumbai,2026-08-05,3590,delivered,Q2,50
KR-02148,C-3011,Retail-Plus,app,Chennai,2026-09-22,3140,returned,Q2,
KR-02149,C-3012,Retail-Plus,store,Pune,2026-07-14,3260,cancelled,Q2,150
KR-02150,C-3013,Retail-Plus,web,Mumbai,2026-08-01,3700,delivered,Q2,100
KR-02151,C-3014,Retail-Plus,app,Chennai,2026-09-25,3710,delivered,Q2,150
KR-02152,C-3015,Retail-Plus,store,Pune,2026-07-28,3520,delivered,Q2,
KR-02153,C-3016,Retail-Plus,web,Mumbai,2026-08-20,4180,delivered,Q2,50
KR-02154,C-3017,Retail-Plus,app,Chennai,2026-09-23,3730,returned,Q2,50
KR-02155,C-3018,Retail-Plus,store,Pune,2026-07-21,4000,cancelled,Q2,0
KR-02156,C-3019,Retail-Plus,web,Mumbai,2026-08-19,1230,delivered,Q2,
KR-02157,C-3020,Retail-Plus,app,Chennai,2026-09-18,4210,delivered,Q2,100
KR-02158,C-3021,Retail-Plus,store,Pune,2026-07-24,1540,delivered,Q2,100
KR-02159,C-3000,Retail-Plus,web,Mumbai,2026-08-09,3910,delivered,Q2,50
KR-02160,C-3001,Retail-Plus,app,Chennai,2026-09-02,2100,returned,Q2,
KR-02161,C-3002,Retail-Plus,store,Pune,2026-07-24,4000,cancelled,Q2,150
KR-02162,C-3003,Retail-Plus,web,Mumbai,2026-08-17,1610,delivered,Q2,100
KR-02163,C-5000,Student,web,Mumbai,2026-07-20,780,delivered,Q2,
KR-02164,C-5003,Student,app,Chennai,2026-08-01,1180,delivered,Q2,
KR-02165,C-5000,Student,store,Pune,2026-09-17,970,delivered,Q2,
KR-02166,C-5003,Student,web,Mumbai,2026-07-27,1330,returned,Q2,
KR-02167,C-5000,Student,app,Chennai,2026-08-25,1440,cancelled,Q2,
KR-02168,C-5003,Student,store,Pune,2026-09-09,950,delivered,Q2,
KR-02169,C-5000,Student,web,Mumbai,2026-07-11,1080,delivered,Q2,
KR-02170,C-4000,Business,store,Delhi,2026-07-25,1495000,delivered,Q2,50
KR-02171,C-4003,Business,web,Hyderabad,2026-08-08,863000,delivered,Q2,150
KR-02172,C-4006,Business,app,Bengaluru,2026-09-14,1313000,returned,Q2,
KR-02173,C-4009,Business,store,Delhi,2026-07-10,470000,cancelled,Q2,150
KR-02174,C-4001,Business,web,Hyderabad,2026-08-01,631000,delivered,Q2,150
KR-02175,C-4004,Business,app,Bengaluru,2026-09-28,952000,delivered,Q2,50
KR-02176,C-4007,Business,store,Delhi,2026-07-21,293000,delivered,Q2,
KR-02177,C-4010,Business,web,Hyderabad,2026-08-22,820000,delivered,Q2,150
KR-02178,C-4002,Business,app,Bengaluru,2026-09-22,1432000,returned,Q2,0
KR-02179,C-4005,Business,store,Delhi,2026-07-04,574000,cancelled,Q2,150
KR-02180,C-4008,Business,web,Hyderabad,2026-08-16,1434000,delivered,Q2,
KR-02181,C-4000,Business,app,Bengaluru,2026-09-27,509000,delivered,Q2,150
KR-02182,C-4003,Business,store,Delhi,2026-07-10,1465000,delivered,Q2,150
KR-02183,C-4006,Business,web,Hyderabad,2026-08-10,1357000,delivered,Q2,50
KR-02184,C-4009,Business,app,Bengaluru,2026-09-16,217000,returned,Q2,
KR-02185,C-4001,Business,store,Delhi,2026-07-06,1771000,cancelled,Q2,150
KR-02186,C-4004,Business,web,Hyderabad,2026-08-06,2945460,delivered,Q2,50
