order_id,customer_id,segment,channel,city,order_date,amount,status,quarter,discount
KR-02055,C-3017,Retail-Plus,app,Bengaluru,2026-06-20,1810,delivered,Q1,100
KR-02056,C-3018,Retail-Plus,store,Delhi,2026-04-14,3100,delivered,Q1,
KR-02057,C-3019,Retail-Plus,web,Hyderabad,2026-05-26,1520,delivered,Q1,50
KR-02058,C-3020,Retail-Plus,app,Bengaluru,2026-06-10,4050,returned,Q1,0
KR-02059,C-3021,Retail-Plus,store,Delhi,2026-04-05,3660,cancelled,Q1,100
KR-02060,C-3000,Retail-Plus,web,Hyderabad,2026-05-19,4410,delivered,Q1,
KR-02061,C-3001,Retail-Plus,app,Bengaluru,2026-06-21,3840,delivered,Q1,100
KR-02062,C-3002,Retail-Plus,store,Delhi,2026-04-26,3190,delivered,Q1,150
KR-02063,C-3003,Retail-Plus,web,Hyderabad,2026-05-14,1790,delivered,Q1,100
KR-02064,C-3004,Retail-Plus,app,Bengaluru,2026-06-01,3150,returned,Q1,
KR-02065,C-3005,Retail-Plus,store,Delhi,2026-04-06,3570,cancelled,Q1,50
KR-02066,C-3006,Retail-Plus,web,Hyderabad,2026-05-03,2600,delivered,Q1,100
KR-02067,C-3007,Retail-Plus,app,Bengaluru,2026-06-19,2720,delivered,Q1,0
KR-02068,C-3008,Retail-Plus,store,Delhi,2026-04-02,1800,delivered,Q1,
KR-02069,C-3009,Retail-Plus,web,Hyderabad,2026-05-17,3070,delivered,Q1,150
KR-02070,C-3010,Retail-Plus,app,Bengaluru,2026-06-10,1290,returned,Q1,0
KR-02071,C-3011,Retail-Plus,store,Delhi,2026-04-15,1970,cancelled,Q1,100
KR-02072,C-3012,Retail-Plus,web,Hyderabad,2026-05-20,3040,delivered,Q1,
KR-02073,C-3013,Retail-Plus,app,Bengaluru,2026-06-21,3060,delivered,Q1,0
KR-02074,C-3014,Retail-Plus,store,Delhi,2026-04-06,2500,delivered,Q1,150
KR-02075,C-3015,Retail-Plus,web,Hyderabad,2026-05-23,4250,delivered,Q1,0
KR-02076,C-3016,Retail-Plus,app,Bengaluru,2026-06-18,3650,returned,Q1,
KR-02077,C-3017,Retail-Plus,store,Delhi,2026-04-18,4380,cancelled,Q1,0
KR-02078,C-5000,Student,app,Bengaluru,2026-04-15,1010,delivered,Q1,
KR-02079,C-5003,Student,store,Delhi,2026-05-24,680,delivered,Q1,
KR-02080,C-5000,Student,web,Hyderabad,2026-06-26,930,delivered,Q1,
KR-02081,C-5003,Student,app,Bengaluru,2026-04-23,1360,delivered,Q1,
KR-02082,C-5000,Student,store,Delhi,2026-05-20,830,returned,Q1,
KR-02083,C-4000,Business,store,Pune,2026-04-11,418000,cancelled,Q1,100
KR-02084,C-4003,Business,web,Mumbai,2026-05-05,1572000,delivered,Q1,
KR-02085,C-4006,Business,app,Chennai,2026-06-17,381000,delivered,Q1,150
KR-02086,C-4009,Business,store,Pune,2026-04-05,983000,delivered,Q1,0
KR-02087,C-4001,Business,web,Mumbai,2026-05-13,1771000,delivered,Q1,0
KR-02088,C-4004,Business,app,Chennai,2026-06-16,1540000,returned,Q1,
KR-02089,C-4007,Business,store,Pune,2026-04-19,853000,cancelled,Q1,0
KR-02090,C-4010,Business,web,Mumbai,2026-05-06,340000,delivered,Q1,50
KR-02004,C-2009,Retail-Core,web,Mumbai,2026-04-12,2390,returned,Q1,
KR-02009,C-2024,Retail-Core,store,Pune,2026-06-13,2460,delivered,Q1,150
KR-02022,C-2029,Retail-Core,web,Mumbai,2026-04-26,2900,returned,Q1,50
KR-02037,C-2006,Retail-Core,web,Mumbai,2026-04-18,1330,delivered,Q1,150
KR-02061,C-3001,Retail-Plus,app,Bengaluru,2026-06-21,3840,delivered,Q1,100
KR-02070,C-3010,Retail-Plus,app,Bengaluru,2026-06-10,1290,returned,Q1,0
