order_id,customer_id,segment,channel,order_date,order_amount,paid_amount,paid_date
KR-00032,C-0290,Business,app,2026-05-20,1661000,996600,2026-05-22
KR-00032,C-0290,Business,app,2026-05-20,1661000,664400,2026-05-22
KR-00033,C-0271,Business,app,2026-06-08,866000,519600,2026-06-10
KR-00033,C-0271,Business,app,2026-06-08,866000,346400,2026-06-10
KR-00034,C-0272,Business,app,2026-04-22,869000,521400,2026-04-24
KR-00034,C-0272,Business,app,2026-04-22,869000,347600,2026-04-24
KR-00035,C-0273,Business,web,2026-05-02,1197000,718200,2026-05-04
KR-00035,C-0273,Business,web,2026-05-02,1197000,478800,2026-05-04
KR-00036,C-0282,Business,web,2026-06-26,1046000,627600,2026-06-28
KR-00036,C-0282,Business,web,2026-06-26,1046000,418400,2026-06-28
KR-00037,C-0304,Business,app,2026-04-11,1153000,691800,2026-04-13
KR-00037,C-0304,Business,app,2026-04-11,1153000,461200,2026-04-13
KR-00038,C-0283,Business,app,2026-05-10,715000,429000,2026-05-12
KR-00038,C-0283,Business,app,2026-05-10,715000,286000,2026-05-12
KR-00039,C-0280,Business,app,2026-06-23,881000,528600,2026-06-25
KR-00039,C-0280,Business,app,2026-06-23,881000,352400,2026-06-25
KR-00040,C-0310,Business,web,2026-04-11,379000,227400,2026-04-13
KR-00040,C-0310,Business,web,2026-04-11,379000,151600,2026-04-13
KR-00041,C-0299,Business,store,2026-05-27,1282000,769200,2026-05-28
KR-00041,C-0299,Business,store,2026-05-27,1282000,512800,2026-05-28
KR-00042,C-0278,Business,app,2026-06-04,1566000,939600,2026-06-06
KR-00042,C-0278,Business,app,2026-06-04,1566000,626400,2026-06-06
KR-00043,C-0279,Business,app,2026-04-18,1245000,747000,2026-04-20
KR-00043,C-0279,Business,app,2026-04-18,1245000,498000,2026-04-20
KR-00044,C-0303,Business,app,2026-05-18,963000,577800,2026-05-20
KR-00044,C-0303,Business,app,2026-05-18,963000,385200,2026-05-20
KR-00045,C-0306,Business,app,2026-06-07,1645000,987000,2026-06-09
KR-00045,C-0306,Business,app,2026-06-07,1645000,658000,2026-06-09
KR-00046,C-0283,Business,app,2026-04-15,1625000,975000,2026-04-17
KR-00046,C-0283,Business,app,2026-04-15,1625000,650000,2026-04-17
KR-00047,C-0274,Business,store,2026-05-07,363000,217800,2026-05-09
KR-00047,C-0274,Business,store,2026-05-07,363000,145200,2026-05-09
KR-00048,C-0275,Business,web,2026-06-28,214000,128400,2026-06-28
KR-00048,C-0275,Business,web,2026-06-28,214000,85600,2026-06-28
KR-00049,C-0284,Business,store,2026-04-19,1023000,613800,2026-04-21
KR-00049,C-0284,Business,store,2026-04-19,1023000,409200,2026-04-21
KR-00050,C-0291,Business,web,2026-05-02,1118000,670800,2026-05-04
KR-00050,C-0291,Business,web,2026-05-02,1118000,447200,2026-05-04
KR-00051,C-0296,Business,web,2026-06-21,1648000,988800,2026-06-23
KR-00051,C-0296,Business,web,2026-06-21,1648000,659200,2026-06-23
KR-00052,C-0288,Business,store,2026-04-21,1478000,886800,2026-04-23
KR-00052,C-0288,Business,store,2026-04-21,1478000,591200,2026-04-23
KR-00053,C-0276,Business,web,2026-05-06,715000,429000,2026-05-08
KR-00053,C-0276,Business,web,2026-05-06,715000,286000,2026-05-08
KR-00054,C-0308,Business,store,2026-06-19,1367000,820200,2026-06-21
KR-00054,C-0308,Business,store,2026-06-19,1367000,546800,2026-06-21
KR-00055,C-0276,Business,store,2026-04-27,1407000,844200,2026-04-28
KR-00055,C-0276,Business,store,2026-04-27,1407000,562800,2026-04-28
KR-00056,C-0286,Business,web,2026-05-03,678000,406800,2026-05-05
KR-00056,C-0286,Business,web,2026-05-03,678000,271200,2026-05-05
KR-00057,C-0296,Business,app,2026-06-18,247000,148200,2026-06-20
KR-00057,C-0296,Business,app,2026-06-18,247000,98800,2026-06-20
KR-00058,C-0282,Business,app,2026-04-06,522000,313200,2026-04-08
KR-00058,C-0282,Business,app,2026-04-06,522000,208800,2026-04-08
KR-00059,C-0280,Business,app,2026-05-11,1752000,1051200,2026-05-13
KR-00059,C-0280,Business,app,2026-05-11,1752000,700800,2026-05-13
KR-00060,C-0307,Business,web,2026-06-05,291000,174600,2026-06-07
KR-00060,C-0307,Business,web,2026-06-05,291000,116400,2026-06-07
KR-00061,C-0273,Business,store,2026-04-28,1090000,654000,2026-04-28
KR-00061,C-0273,Business,store,2026-04-28,1090000,436000,2026-04-28
KR-00062,C-0285,Business,app,2026-05-07,940000,564000,2026-05-09
KR-00062,C-0285,Business,app,2026-05-07,940000,376000,2026-05-09
KR-00063,C-0290,Business,web,2026-06-16,262000,157200,2026-06-18
KR-00063,C-0290,Business,web,2026-06-16,262000,104800,2026-06-18
KR-00064,C-0290,Business,store,2026-04-05,624000,374400,2026-04-07
KR-00064,C-0290,Business,store,2026-04-05,624000,249600,2026-04-07
KR-00065,C-0280,Business,app,2026-05-22,689000,413400,2026-05-24
KR-00065,C-0280,Business,app,2026-05-22,689000,275600,2026-05-24
KR-00066,C-0295,Business,store,2026-06-06,255000,153000,2026-06-08
KR-00066,C-0295,Business,store,2026-06-06,255000,102000,2026-06-08
KR-00067,C-0274,Business,store,2026-04-09,436000,261600,2026-04-11
KR-00067,C-0274,Business,store,2026-04-09,436000,174400,2026-04-11
KR-00068,C-0273,Business,app,2026-05-20,644000,386400,2026-05-22
KR-00068,C-0273,Business,app,2026-05-20,644000,257600,2026-05-22
KR-00069,C-0302,Business,store,2026-06-12,1182000,709200,2026-06-14
KR-00069,C-0302,Business,store,2026-06-12,1182000,472800,2026-06-14
KR-00070,C-0307,Business,store,2026-04-14,209000,125400,2026-04-16
KR-00070,C-0307,Business,store,2026-04-14,209000,83600,2026-04-16
KR-00071,C-0275,Business,store,2026-05-23,1609000,965400,2026-05-25
KR-00071,C-0275,Business,store,2026-05-23,1609000,643600,2026-05-25
KR-00072,C-0283,Business,web,2026-06-13,1408000,844800,2026-06-15
KR-00072,C-0283,Business,web,2026-06-13,1408000,563200,2026-06-15
KR-00073,C-0276,Business,web,2026-04-15,1442000,865200,2026-04-17
KR-00073,C-0276,Business,web,2026-04-15,1442000,576800,2026-04-17
KR-00074,C-0281,Business,web,2026-05-13,1000000,600000,2026-05-15
KR-00074,C-0281,Business,web,2026-05-13,1000000,400000,2026-05-15
KR-00075,C-0281,Business,web,2026-06-10,692000,415200,2026-06-12
KR-00075,C-0281,Business,web,2026-06-10,692000,276800,2026-06-12
KR-00076,C-0272,Business,store,2026-04-20,1149000,689400,2026-04-22
KR-00076,C-0272,Business,store,2026-04-20,1149000,459600,2026-04-22
KR-00077,C-0279,Business,app,2026-05-08,536000,321600,2026-05-10
KR-00077,C-0279,Business,app,2026-05-08,536000,214400,2026-05-10
KR-00078,C-0294,Business,web,2026-06-13,1068000,640800,2026-06-15
KR-00078,C-0294,Business,web,2026-06-13,1068000,427200,2026-06-15
KR-00079,C-0277,Business,app,2026-04-08,983000,589800,2026-04-10
KR-00079,C-0277,Business,app,2026-04-08,983000,393200,2026-04-10
KR-00080,C-0307,Business,web,2026-05-22,518000,310800,2026-05-24
KR-00080,C-0307,Business,web,2026-05-22,518000,207200,2026-05-24
KR-00081,C-0281,Business,web,2026-06-08,804000,482400,2026-06-10
KR-00081,C-0281,Business,web,2026-06-08,804000,321600,2026-06-10
KR-00082,C-0292,Business,store,2026-04-27,316000,189600,2026-04-28
KR-00082,C-0292,Business,store,2026-04-27,316000,126400,2026-04-28
KR-00083,C-0282,Business,web,2026-05-06,691000,414600,2026-05-08
KR-00083,C-0282,Business,web,2026-05-06,691000,276400,2026-05-08
KR-00084,C-0272,Business,web,2026-06-17,1615000,969000,2026-06-19
KR-00084,C-0272,Business,web,2026-06-17,1615000,646000,2026-06-19
KR-00085,C-0305,Business,web,2026-04-07,209000,125400,2026-04-09
KR-00085,C-0305,Business,web,2026-04-07,209000,83600,2026-04-09
KR-00086,C-0276,Business,app,2026-05-11,356000,213600,2026-05-13
KR-00086,C-0276,Business,app,2026-05-11,356000,142400,2026-05-13
KR-00087,C-0290,Business,web,2026-06-09,1565000,939000,2026-06-11
KR-00087,C-0290,Business,web,2026-06-09,1565000,626000,2026-06-11
KR-00088,C-0283,Business,web,2026-04-10,700000,420000,2026-04-12
KR-00088,C-0283,Business,web,2026-04-10,700000,280000,2026-04-12
KR-00089,C-0283,Business,app,2026-05-15,1029000,617400,2026-05-17
KR-00089,C-0283,Business,app,2026-05-15,1029000,411600,2026-05-17
KR-00090,C-0294,Business,web,2026-06-03,380000,228000,2026-06-05
KR-00090,C-0294,Business,web,2026-06-03,380000,152000,2026-06-05
KR-00091,C-0296,Business,web,2026-04-07,425000,255000,2026-04-09
KR-00091,C-0296,Business,web,2026-04-07,425000,170000,2026-04-09
KR-00092,C-0294,Business,app,2026-05-13,490000,294000,2026-05-15
KR-00092,C-0294,Business,app,2026-05-13,490000,196000,2026-05-15
KR-00093,C-0271,Business,web,2026-06-08,1671000,1002600,2026-06-10
KR-00093,C-0271,Business,web,2026-06-08,1671000,668400,2026-06-10
KR-00094,C-0273,Business,app,2026-04-12,1696000,1017600,2026-04-14
KR-00094,C-0273,Business,app,2026-04-12,1696000,678400,2026-04-14
KR-00095,C-0306,Business,store,2026-05-15,484000,290400,2026-05-17
KR-00095,C-0306,Business,store,2026-05-15,484000,193600,2026-05-17
KR-00096,C-0285,Business,web,2026-06-25,1481000,888600,2026-06-27
KR-00096,C-0285,Business,web,2026-06-25,1481000,592400,2026-06-27
KR-00097,C-0308,Business,app,2026-04-04,438000,262800,2026-04-06
KR-00097,C-0308,Business,app,2026-04-04,438000,175200,2026-04-06
KR-00098,C-0283,Business,web,2026-05-09,360000,216000,2026-05-11
KR-00098,C-0283,Business,web,2026-05-09,360000,144000,2026-05-11
KR-00099,C-0302,Business,web,2026-06-23,567000,340200,2026-06-25
KR-00099,C-0302,Business,web,2026-06-23,567000,226800,2026-06-25
KR-00100,C-0282,Business,web,2026-04-12,400000,240000,2026-04-14
KR-00100,C-0282,Business,web,2026-04-12,400000,160000,2026-04-14
KR-00101,C-0276,Business,store,2026-05-17,283000,169800,2026-05-19
KR-00101,C-0276,Business,store,2026-05-17,283000,113200,2026-05-19
KR-00102,C-0279,Business,store,2026-06-01,553000,331800,2026-06-03
KR-00102,C-0279,Business,store,2026-06-01,553000,221200,2026-06-03
KR-00103,C-0298,Business,store,2026-04-01,880000,528000,2026-04-03
KR-00103,C-0298,Business,store,2026-04-01,880000,352000,2026-04-03
KR-00104,C-0279,Business,web,2026-05-22,1127000,676200,2026-05-24
KR-00104,C-0279,Business,web,2026-05-22,1127000,450800,2026-05-24
KR-00105,C-0300,Business,app,2026-06-02,1720000,1032000,2026-06-04
KR-00105,C-0300,Business,app,2026-06-02,1720000,688000,2026-06-04
KR-00106,C-0282,Business,store,2026-04-05,323000,193800,2026-04-07
KR-00106,C-0282,Business,store,2026-04-05,323000,129200,2026-04-07
KR-00107,C-0296,Business,web,2026-05-16,1526000,915600,2026-05-18
KR-00107,C-0296,Business,web,2026-05-16,1526000,610400,2026-05-18
KR-00108,C-0275,Business,store,2026-06-13,1622000,973200,2026-06-15
KR-00108,C-0275,Business,store,2026-06-13,1622000,648800,2026-06-15
KR-00109,C-0271,Business,web,2026-04-24,636000,381600,2026-04-26
KR-00109,C-0271,Business,web,2026-04-24,636000,254400,2026-04-26
KR-00110,C-0283,Business,web,2026-05-16,366000,219600,2026-05-18
KR-00110,C-0283,Business,web,2026-05-16,366000,146400,2026-05-18
KR-00111,C-0276,Business,app,2026-06-07,1011000,606600,2026-06-09
KR-00111,C-0276,Business,app,2026-06-07,1011000,404400,2026-06-09
KR-00112,C-0282,Business,web,2026-04-04,320000,192000,2026-04-06
KR-00112,C-0282,Business,web,2026-04-04,320000,128000,2026-04-06
KR-00113,C-0295,Business,web,2026-05-09,1485000,891000,2026-05-11
KR-00113,C-0295,Business,web,2026-05-09,1485000,594000,2026-05-11
KR-00114,C-0289,Business,app,2026-06-10,1174000,704400,2026-06-12
KR-00114,C-0289,Business,app,2026-06-10,1174000,469600,2026-06-12
KR-00115,C-0286,Business,app,2026-04-06,768000,460800,2026-04-08
KR-00115,C-0286,Business,app,2026-04-06,768000,307200,2026-04-08
KR-00116,C-0280,Business,web,2026-05-05,634000,380400,2026-05-07
KR-00116,C-0280,Business,web,2026-05-05,634000,253600,2026-05-07
KR-00117,C-0287,Business,web,2026-06-07,494000,296400,2026-06-09
KR-00117,C-0287,Business,web,2026-06-07,494000,197600,2026-06-09
KR-00118,C-0299,Business,web,2026-04-04,1367000,820200,2026-04-06
KR-00118,C-0299,Business,web,2026-04-04,1367000,546800,2026-04-06
KR-00119,C-0282,Business,store,2026-05-21,346000,207600,2026-05-23
KR-00119,C-0282,Business,store,2026-05-21,346000,138400,2026-05-23
KR-00120,C-0282,Business,app,2026-06-28,518000,310800,2026-06-28
KR-00120,C-0282,Business,app,2026-06-28,518000,207200,2026-06-28
KR-00121,C-0273,Business,web,2026-04-23,1799000,1079400,2026-04-25
KR-00121,C-0273,Business,web,2026-04-23,1799000,719600,2026-04-25
KR-00122,C-0274,Business,web,2026-05-02,1023000,613800,2026-05-04
KR-00122,C-0274,Business,web,2026-05-02,1023000,409200,2026-05-04
KR-00123,C-0271,Business,app,2026-06-12,799000,479400,2026-06-14
KR-00123,C-0271,Business,app,2026-06-12,799000,319600,2026-06-14
KR-00124,C-0291,Business,app,2026-04-28,12277440,7366464,2026-04-28
KR-00124,C-0291,Business,app,2026-04-28,12277440,4910976,2026-04-28
KR-00125,C-0161,Retail-Plus,store,2026-04-12,3520,2112,2026-04-14
KR-00125,C-0161,Retail-Plus,store,2026-04-12,3520,1408,2026-04-14
KR-00126,C-0237,Retail-Plus,store,2026-05-07,1860,1860,2026-05-09
KR-00127,C-0166,Retail-Plus,store,2026-06-12,1520,1520,2026-06-14
KR-00128,C-0247,Retail-Plus,store,2026-04-21,2600,2600,2026-04-23
KR-00129,C-0164,Retail-Plus,web,2026-05-16,3920,2352,2026-05-18
KR-00129,C-0164,Retail-Plus,web,2026-05-16,3920,1568,2026-05-18
KR-00130,C-0151,Retail-Plus,app,2026-06-09,2200,2200,2026-06-11
KR-00131,C-0260,Retail-Plus,app,2026-04-21,4450,2670,2026-04-23
KR-00131,C-0260,Retail-Plus,app,2026-04-21,4450,1780,2026-04-23
KR-00132,C-0185,Retail-Plus,store,2026-05-11,3040,1824,2026-05-13
KR-00132,C-0185,Retail-Plus,store,2026-05-11,3040,1216,2026-05-13
KR-00133,C-0190,Retail-Plus,app,2026-06-27,2840,1704,2026-06-28
KR-00133,C-0190,Retail-Plus,app,2026-06-27,2840,1136,2026-06-28
KR-00134,C-0188,Retail-Plus,store,2026-04-02,3980,2388,2026-04-04
KR-00134,C-0188,Retail-Plus,store,2026-04-02,3980,1592,2026-04-04
KR-00135,C-0171,Retail-Plus,app,2026-05-24,2210,2210,2026-05-26
KR-00136,C-0265,Retail-Plus,app,2026-06-06,3110,1866,2026-06-08
KR-00136,C-0265,Retail-Plus,app,2026-06-06,3110,1244,2026-06-08
KR-00137,C-0158,Retail-Plus,store,2026-04-21,1610,1610,2026-04-23
KR-00138,C-0173,Retail-Plus,web,2026-05-10,3410,2046,2026-05-12
KR-00138,C-0173,Retail-Plus,web,2026-05-10,3410,1364,2026-05-12
KR-00139,C-0260,Retail-Plus,store,2026-06-27,3870,2322,2026-06-28
KR-00139,C-0260,Retail-Plus,store,2026-06-27,3870,1548,2026-06-28
KR-00140,C-0154,Retail-Plus,app,2026-04-22,3130,1878,2026-04-24
KR-00140,C-0154,Retail-Plus,app,2026-04-22,3130,1252,2026-04-24
KR-00141,C-0265,Retail-Plus,store,2026-05-22,2540,2540,2026-05-24
KR-00142,C-0234,Retail-Plus,store,2026-06-23,3280,1968,2026-06-25
KR-00142,C-0234,Retail-Plus,store,2026-06-23,3280,1312,2026-06-25
KR-00143,C-0261,Retail-Plus,app,2026-04-25,1720,1720,2026-04-27
KR-00144,C-0176,Retail-Plus,app,2026-05-25,1310,1310,2026-05-27
KR-00145,C-0167,Retail-Plus,web,2026-06-19,2220,2220,2026-06-21
KR-00146,C-0204,Retail-Plus,app,2026-04-20,1430,1430,2026-04-22
KR-00147,C-0173,Retail-Plus,web,2026-05-08,3520,2112,2026-05-10
KR-00147,C-0173,Retail-Plus,web,2026-05-08,3520,1408,2026-05-10
KR-00148,C-0176,Retail-Plus,store,2026-06-14,1420,1420,2026-06-16
KR-00149,C-0229,Retail-Plus,store,2026-04-01,3680,2208,2026-04-03
KR-00149,C-0229,Retail-Plus,store,2026-04-01,3680,1472,2026-04-03
KR-00150,C-0247,Retail-Plus,store,2026-05-24,3840,2304,2026-05-26
KR-00150,C-0247,Retail-Plus,store,2026-05-24,3840,1536,2026-05-26
KR-00151,C-0185,Retail-Plus,app,2026-06-10,2690,2690,2026-06-12
KR-00152,C-0187,Retail-Plus,app,2026-04-26,2230,2230,2026-04-28
KR-00153,C-0201,Retail-Plus,store,2026-05-03,3840,2304,2026-05-05
KR-00153,C-0201,Retail-Plus,store,2026-05-03,3840,1536,2026-05-05
KR-00154,C-0250,Retail-Plus,web,2026-06-02,2560,2560,2026-06-04
KR-00155,C-0230,Retail-Plus,web,2026-04-22,3190,1914,2026-04-24
KR-00155,C-0230,Retail-Plus,web,2026-04-22,3190,1276,2026-04-24
KR-00156,C-0225,Retail-Plus,store,2026-05-11,1970,1970,2026-05-13
KR-00157,C-0174,Retail-Plus,store,2026-06-15,2740,2740,2026-06-17
KR-00158,C-0257,Retail-Plus,web,2026-04-15,3310,1986,2026-04-17
KR-00158,C-0257,Retail-Plus,web,2026-04-15,3310,1324,2026-04-17
KR-00159,C-0164,Retail-Plus,store,2026-05-07,3230,1938,2026-05-09
KR-00159,C-0164,Retail-Plus,store,2026-05-07,3230,1292,2026-05-09
KR-00160,C-0242,Retail-Plus,store,2026-06-24,4220,2532,2026-06-26
KR-00160,C-0242,Retail-Plus,store,2026-06-24,4220,1688,2026-06-26
KR-00161,C-0197,Retail-Plus,store,2026-04-26,1690,1690,2026-04-28
KR-00162,C-0187,Retail-Plus,app,2026-05-27,1960,1960,2026-05-28
KR-00163,C-0169,Retail-Plus,app,2026-06-19,1810,1810,2026-06-21
KR-00164,C-0211,Retail-Plus,web,2026-04-18,1220,1220,2026-04-20
KR-00165,C-0208,Retail-Plus,store,2026-05-09,1720,1720,2026-05-11
KR-00166,C-0234,Retail-Plus,web,2026-06-03,2120,2120,2026-06-05
KR-00167,C-0268,Retail-Plus,store,2026-04-28,2100,2100,2026-04-28
KR-00168,C-0227,Retail-Plus,web,2026-05-24,4330,2598,2026-05-26
KR-00168,C-0227,Retail-Plus,web,2026-05-24,4330,1732,2026-05-26
KR-00169,C-0208,Retail-Plus,store,2026-06-05,2830,1698,2026-06-07
KR-00169,C-0208,Retail-Plus,store,2026-06-05,2830,1132,2026-06-07
KR-00170,C-0184,Retail-Plus,app,2026-04-07,1840,1840,2026-04-09
KR-00171,C-0185,Retail-Plus,app,2026-05-03,1660,1660,2026-05-05
KR-00172,C-0194,Retail-Plus,store,2026-06-01,4500,2700,2026-06-03
KR-00172,C-0194,Retail-Plus,store,2026-06-01,4500,1800,2026-06-03
KR-00173,C-0186,Retail-Plus,app,2026-04-17,2460,2460,2026-04-19
KR-00174,C-0216,Retail-Plus,store,2026-05-04,3960,2376,2026-05-06
KR-00174,C-0216,Retail-Plus,store,2026-05-04,3960,1584,2026-05-06
KR-00175,C-0245,Retail-Plus,web,2026-06-27,2760,2760,2026-06-28
KR-00176,C-0266,Retail-Plus,store,2026-04-20,1340,1340,2026-04-22
KR-00177,C-0175,Retail-Plus,app,2026-05-17,3640,2184,2026-05-19
KR-00177,C-0175,Retail-Plus,app,2026-05-17,3640,1456,2026-05-19
KR-00178,C-0179,Retail-Plus,app,2026-06-12,1360,1360,2026-06-14
KR-00179,C-0172,Retail-Plus,web,2026-04-22,3730,2238,2026-04-24
KR-00179,C-0172,Retail-Plus,web,2026-04-22,3730,1492,2026-04-24
KR-00180,C-0266,Retail-Plus,store,2026-05-13,2370,2370,2026-05-15
KR-00181,C-0242,Retail-Plus,app,2026-06-26,3790,2274,2026-06-28
KR-00181,C-0242,Retail-Plus,app,2026-06-26,3790,1516,2026-06-28
KR-00182,C-0210,Retail-Plus,app,2026-04-08,1460,1460,2026-04-10
KR-00183,C-0152,Retail-Plus,app,2026-05-03,3170,1902,2026-05-05
KR-00183,C-0152,Retail-Plus,app,2026-05-03,3170,1268,2026-05-05
KR-00184,C-0250,Retail-Plus,web,2026-06-18,1230,1230,2026-06-20
KR-00185,C-0218,Retail-Plus,app,2026-04-12,1320,1320,2026-04-14
KR-00186,C-0177,Retail-Plus,store,2026-05-12,3320,1992,2026-05-14
KR-00186,C-0177,Retail-Plus,store,2026-05-12,3320,1328,2026-05-14
KR-00187,C-0251,Retail-Plus,web,2026-06-19,4300,2580,2026-06-21
KR-00187,C-0251,Retail-Plus,web,2026-06-19,4300,1720,2026-06-21
KR-00188,C-0223,Retail-Plus,app,2026-04-08,3450,2070,2026-04-10
KR-00188,C-0223,Retail-Plus,app,2026-04-08,3450,1380,2026-04-10
KR-00189,C-0173,Retail-Plus,app,2026-05-26,2390,2390,2026-05-28
KR-00190,C-0191,Retail-Plus,web,2026-06-16,3740,2244,2026-06-18
KR-00190,C-0191,Retail-Plus,web,2026-06-16,3740,1496,2026-06-18
KR-00191,C-0257,Retail-Plus,app,2026-04-13,1320,1320,2026-04-15
KR-00192,C-0184,Retail-Plus,app,2026-05-19,1900,1900,2026-05-21
KR-00193,C-0247,Retail-Plus,web,2026-06-28,1450,1450,2026-06-28
KR-00194,C-0159,Retail-Plus,store,2026-04-25,1230,1230,2026-04-27
KR-00195,C-0177,Retail-Plus,store,2026-05-27,4000,2400,2026-05-28
KR-00195,C-0177,Retail-Plus,store,2026-05-27,4000,1600,2026-05-28
KR-00196,C-0151,Retail-Plus,store,2026-06-16,4090,2454,2026-06-18
KR-00196,C-0151,Retail-Plus,store,2026-06-16,4090,1636,2026-06-18
KR-00197,C-0191,Retail-Plus,web,2026-04-04,3650,2190,2026-04-06
KR-00197,C-0191,Retail-Plus,web,2026-04-04,3650,1460,2026-04-06
KR-00198,C-0165,Retail-Plus,app,2026-05-27,1640,1640,2026-05-28
KR-00199,C-0239,Retail-Plus,app,2026-06-02,1820,1820,2026-06-04
KR-00200,C-0266,Retail-Plus,app,2026-04-26,1250,1250,2026-04-28
KR-00201,C-0234,Retail-Plus,app,2026-05-20,2510,2510,2026-05-22
KR-00202,C-0156,Retail-Plus,app,2026-06-18,3370,2022,2026-06-20
KR-00202,C-0156,Retail-Plus,app,2026-06-18,3370,1348,2026-06-20
KR-00203,C-0177,Retail-Plus,web,2026-04-26,2660,2660,2026-04-28
KR-00204,C-0254,Retail-Plus,app,2026-05-09,2530,2530,2026-05-11
KR-00205,C-0152,Retail-Plus,store,2026-06-12,3650,2190,2026-06-14
KR-00205,C-0152,Retail-Plus,store,2026-06-12,3650,1460,2026-06-14
KR-00206,C-0173,Retail-Plus,web,2026-04-03,3860,2316,2026-04-05
KR-00206,C-0173,Retail-Plus,web,2026-04-03,3860,1544,2026-04-05
KR-00207,C-0187,Retail-Plus,web,2026-05-24,1300,1300,2026-05-26
KR-00208,C-0219,Retail-Plus,app,2026-06-08,1550,1550,2026-06-10
KR-00209,C-0232,Retail-Plus,store,2026-04-15,2690,2690,2026-04-17
KR-00210,C-0239,Retail-Plus,store,2026-05-26,1610,1610,2026-05-28
KR-00211,C-0254,Retail-Plus,web,2026-06-16,1620,1620,2026-06-18
KR-00212,C-0180,Retail-Plus,store,2026-04-16,4100,2460,2026-04-18
KR-00212,C-0180,Retail-Plus,store,2026-04-16,4100,1640,2026-04-18
KR-00213,C-0165,Retail-Plus,web,2026-05-10,2040,2040,2026-05-12
KR-00214,C-0160,Retail-Plus,web,2026-06-07,2770,2770,2026-06-09
KR-00215,C-0153,Retail-Plus,store,2026-04-27,4300,2580,2026-04-28
KR-00215,C-0153,Retail-Plus,store,2026-04-27,4300,1720,2026-04-28
KR-00216,C-0210,Retail-Plus,web,2026-05-16,2350,2350,2026-05-18
KR-00217,C-0222,Retail-Plus,web,2026-06-18,1920,1920,2026-06-20
KR-00218,C-0235,Retail-Plus,app,2026-04-13,3270,1962,2026-04-15
KR-00218,C-0235,Retail-Plus,app,2026-04-13,3270,1308,2026-04-15
