customer_id,segment,city,orders,revenue,last_order_date
C-0054,Retail-Core,Pune,5,8950,2026-09-11
C-0056,Retail-Core,Mumbai,1,1970,2026-07-07
C-0058,Retail-Core,Bengaluru,4,6280,2026-06-18
C-0060,Retail-Core,Pune,6,11550,2026-09-19
C-0066,Retail-Core,Chennai,3,6540,2026-09-07
C-0067,Retail-Core,Pune,1,2120,2026-09-04
C-0068,Retail-Core,Pune,2,4310,2026-09-22
C-0070,Retail-Core,Hyderabad,2,2730,2026-09-25
C-0071,Retail-Core,Hyderabad,2,4840,2026-08-03
C-0072,Retail-Core,Chennai,1,2990,2026-09-03
C-0073,Retail-Core,Delhi,1,1460,2026-05-14
C-0074,Retail-Core,Mumbai,1,2810,2026-09-28
C-0075,Retail-Core,Chennai,2,3330,2026-05-26
C-0076,Retail-Core,Hyderabad,1,1550,2026-04-12
C-0077,Retail-Core,Hyderabad,2,2550,2026-05-12
C-0078,Retail-Core,Bengaluru,1,1750,2026-06-18
C-0079,Retail-Core,Bengaluru,2,2630,2026-08-26
C-0080,Retail-Core,Hyderabad,1,1020,2026-08-26
C-0081,Retail-Core,Hyderabad,1,1070,2026-05-21
C-0082,Retail-Core,Bengaluru,1,2340,2026-08-19
C-0083,Retail-Core,Delhi,1,1480,2026-06-25
C-0084,Retail-Core,Pune,3,6400,2026-04-26
C-0085,Retail-Core,Chennai,2,3610,2026-08-25
C-0086,Retail-Core,Chennai,3,5810,2026-06-07
C-0087,Retail-Core,Pune,1,2970,2026-04-27
C-0088,Retail-Core,Bengaluru,1,960,2026-06-14
C-0089,Retail-Core,Delhi,3,7500,2026-08-05
C-0090,Retail-Core,Delhi,1,1900,2026-07-14
C-0091,Retail-Core,Hyderabad,3,5230,2026-08-02
C-0092,Retail-Core,Chennai,2,2950,2026-08-14
C-0093,Retail-Core,Mumbai,1,1740,2026-04-04
C-0094,Retail-Core,Hyderabad,2,5160,2026-07-09
C-0095,Retail-Core,Mumbai,3,7010,2026-08-23
C-0096,Retail-Core,Hyderabad,2,3210,2026-09-25
C-0098,Retail-Core,Chennai,1,2030,2026-08-07
C-0099,Retail-Core,Pune,1,1180,2026-06-14
C-0100,Retail-Core,Hyderabad,2,4080,2026-08-27
C-0102,Retail-Core,Hyderabad,1,2190,2026-06-07
C-0103,Retail-Core,Chennai,2,4430,2026-07-23
C-0104,Retail-Core,Delhi,3,4720,2026-07-28
C-0107,Retail-Core,Pune,1,1630,2026-04-19
C-0108,Retail-Core,Mumbai,5,5250,2026-09-16
C-0109,Retail-Core,Bengaluru,1,930,2026-07-19
C-0110,Retail-Core,Mumbai,2,3850,2026-06-22
C-0111,Retail-Core,Pune,4,8770,2026-09-24
C-0112,Retail-Core,Pune,4,4600,2026-09-15
C-0113,Retail-Core,Bengaluru,2,4300,2026-09-17
C-0115,Retail-Core,Chennai,1,1480,2026-04-03
C-0116,Retail-Core,Delhi,2,4770,2026-08-14
C-0117,Retail-Core,Hyderabad,2,3160,2026-09-24
C-0118,Retail-Core,Mumbai,2,3590,2026-09-12
C-0119,Retail-Core,Mumbai,1,1530,2026-04-11
C-0121,Retail-Core,Chennai,3,6470,2026-09-21
C-0122,Retail-Core,Pune,1,2480,2026-06-02
C-0123,Retail-Core,Pune,1,3000,2026-06-24
C-0124,Retail-Core,Pune,3,6610,2026-09-05
C-0125,Retail-Core,Chennai,1,820,2026-04-17
C-0126,Retail-Core,Mumbai,2,3290,2026-08-10
C-0127,Retail-Core,Chennai,4,5000,2026-08-19
C-0128,Retail-Core,Chennai,3,5700,2026-08-17
C-0129,Retail-Core,Delhi,1,1620,2026-08-06
C-0131,Retail-Core,Delhi,2,4700,2026-07-05
C-0132,Retail-Core,Pune,2,4540,2026-09-27
C-0133,Retail-Core,Chennai,1,2660,2026-06-24
C-0134,Retail-Core,Pune,1,890,2026-06-20
C-0136,Retail-Core,Pune,5,9470,2026-08-22
C-0137,Retail-Core,Hyderabad,2,4390,2026-07-06
C-0138,Retail-Core,Bengaluru,1,1480,2026-06-15
C-0139,Retail-Core,Pune,2,5020,2026-09-11
C-0140,Retail-Core,Bengaluru,2,4470,2026-07-01
C-0142,Retail-Core,Chennai,2,5750,2026-09-06
C-0143,Retail-Core,Pune,1,1140,2026-06-21
C-0144,Retail-Core,Mumbai,2,2340,2026-06-04
C-0145,Retail-Core,Chennai,1,2690,2026-04-25
C-0146,Retail-Core,Delhi,3,6330,2026-07-02
C-0147,Retail-Core,Pune,3,6370,2026-09-08
C-0148,Retail-Core,Delhi,1,1340,2026-04-08
C-0150,Retail-Core,Pune,1,2410,2026-08-18
C-0151,Retail-Plus,Mumbai,8,19840,2026-08-28
C-0152,Retail-Plus,Pune,9,25840,2026-09-21
C-0153,Retail-Plus,Mumbai,5,12650,2026-09-26
C-0154,Retail-Plus,Mumbai,5,16360,2026-09-12
C-0155,Retail-Plus,Chennai,4,10550,2026-08-16
C-0156,Retail-Plus,Bengaluru,6,16900,2026-09-11
C-0157,Retail-Plus,Mumbai,4,12910,2026-08-14
C-0158,Retail-Plus,Mumbai,3,7670,2026-08-11
C-0159,Retail-Plus,Delhi,3,6340,2026-09-21
C-0160,Retail-Plus,Chennai,7,23020,2026-09-19
C-0161,Retail-Plus,Pune,4,12720,2026-09-14
C-0162,Retail-Plus,Delhi,5,14100,2026-08-04
C-0163,Retail-Plus,Bengaluru,1,1220,2026-09-05
C-0164,Retail-Plus,Bengaluru,6,19740,2026-08-03
C-0165,Retail-Plus,Delhi,6,15240,2026-07-03
C-0166,Retail-Plus,Bengaluru,3,5820,2026-08-07
C-0167,Retail-Plus,Hyderabad,8,22520,2026-09-14
C-0168,Retail-Plus,Mumbai,3,8520,2026-07-21
C-0169,Retail-Plus,Hyderabad,4,8580,2026-09-20
C-0171,Retail-Plus,Hyderabad,5,14140,2026-09-14
C-0172,Retail-Plus,Delhi,5,15290,2026-07-02
C-0173,Retail-Plus,Pune,7,20490,2026-08-13
C-0174,Retail-Plus,Mumbai,5,15370,2026-09-12
C-0175,Retail-Plus,Mumbai,5,15220,2026-09-14
C-0176,Retail-Plus,Bengaluru,3,6580,2026-06-14
C-0177,Retail-Plus,Delhi,6,19510,2026-07-24
C-0178,Retail-Plus,Chennai,1,1840,2026-06-16
C-0179,Retail-Plus,Bengaluru,5,14090,2026-08-06
C-0180,Retail-Plus,Chennai,3,12190,2026-08-26
C-0181,Retail-Plus,Delhi,4,8700,2026-08-13
C-0182,Retail-Plus,Chennai,3,9150,2026-05-27
C-0183,Retail-Plus,Delhi,8,23450,2026-08-05
C-0184,Retail-Plus,Mumbai,7,19750,2026-08-26
C-0185,Retail-Plus,Delhi,7,16910,2026-09-02
C-0186,Retail-Plus,Delhi,4,8960,2026-09-07
C-0187,Retail-Plus,Pune,5,10180,2026-07-07
C-0188,Retail-Plus,Hyderabad,6,18150,2026-08-23
C-0189,Retail-Plus,Delhi,3,10120,2026-08-13
C-0190,Retail-Plus,Delhi,3,9770,2026-07-27
C-0191,Retail-Plus,Delhi,4,12140,2026-07-26
C-0192,Retail-Plus,Delhi,1,3260,2026-04-20
C-0193,Retail-Plus,Bengaluru,1,1580,2026-04-18
C-0194,Retail-Plus,Hyderabad,5,16740,2026-09-21
C-0196,Retail-Plus,Mumbai,1,2380,2026-08-14
C-0197,Retail-Plus,Pune,4,11490,2026-09-23
C-0198,Retail-Plus,Hyderabad,1,1850,2026-07-03
C-0200,Retail-Plus,Chennai,1,4010,2026-04-05
C-0201,Retail-Plus,Chennai,1,3840,2026-05-03
C-0202,Retail-Plus,Chennai,1,3840,2026-06-16
C-0204,Retail-Plus,Chennai,2,4350,2026-06-04
C-0205,Retail-Plus,Pune,2,5400,2026-09-21
C-0206,Retail-Plus,Hyderabad,1,3480,2026-08-04
C-0208,Retail-Plus,Bengaluru,3,7360,2026-08-04
C-0209,Retail-Plus,Chennai,1,4420,2026-05-28
C-0210,Retail-Plus,Delhi,4,8180,2026-05-16
C-0211,Retail-Plus,Chennai,3,7550,2026-09-06
C-0212,Retail-Plus,Mumbai,4,10660,2026-09-22
C-0213,Retail-Plus,Bengaluru,3,6400,2026-09-05
C-0216,Retail-Plus,Mumbai,4,13280,2026-09-20
C-0217,Retail-Plus,Hyderabad,1,4080,2026-05-22
C-0218,Retail-Plus,Hyderabad,1,1320,2026-04-12
C-0219,Retail-Plus,Delhi,7,20640,2026-09-28
C-0220,Retail-Plus,Chennai,1,3450,2026-05-10
C-0222,Retail-Plus,Mumbai,4,9390,2026-08-12
C-0223,Retail-Plus,Mumbai,2,7120,2026-05-18
C-0224,Retail-Plus,Bengaluru,3,11510,2026-09-01
C-0225,Retail-Plus,Chennai,1,1970,2026-05-11
C-0226,Retail-Plus,Mumbai,2,5950,2026-05-25
C-0227,Retail-Plus,Bengaluru,4,12430,2026-06-12
C-0228,Retail-Plus,Delhi,1,3620,2026-05-04
C-0229,Retail-Plus,Bengaluru,3,8070,2026-09-05
C-0230,Retail-Plus,Bengaluru,2,5920,2026-04-22
C-0231,Retail-Plus,Pune,2,4910,2026-09-11
C-0232,Retail-Plus,Bengaluru,2,6550,2026-04-18
C-0234,Retail-Plus,Hyderabad,5,13360,2026-08-19
C-0235,Retail-Plus,Mumbai,1,3270,2026-04-13
C-0236,Retail-Plus,Pune,1,4500,2026-07-17
C-0237,Retail-Plus,Chennai,4,10180,2026-09-12
C-0238,Retail-Plus,Delhi,4,9610,2026-08-21
C-0239,Retail-Plus,Delhi,6,17240,2026-09-20
C-0240,Retail-Plus,Bengaluru,2,5750,2026-09-06
C-0242,Retail-Plus,Mumbai,3,11360,2026-07-12
C-0243,Retail-Plus,Hyderabad,1,1350,2026-07-03
C-0244,Retail-Plus,Chennai,2,2970,2026-07-12
C-0245,Retail-Plus,Mumbai,2,4350,2026-09-04
C-0246,Retail-Plus,Pune,1,3650,2026-06-11
C-0247,Retail-Plus,Chennai,3,7890,2026-06-28
C-0248,Retail-Plus,Chennai,2,7000,2026-07-10
C-0249,Retail-Plus,Chennai,1,1570,2026-07-19
C-0250,Retail-Plus,Mumbai,3,5580,2026-06-18
C-0251,Retail-Plus,Delhi,2,8790,2026-07-14
C-0252,Retail-Plus,Chennai,4,12280,2026-09-16
C-0254,Retail-Plus,Pune,3,6380,2026-09-04
C-0257,Retail-Plus,Delhi,4,10680,2026-04-15
C-0259,Retail-Plus,Delhi,2,5720,2026-09-05
C-0260,Retail-Plus,Bengaluru,2,8320,2026-06-27
C-0261,Retail-Plus,Delhi,3,5270,2026-09-27
C-0262,Retail-Plus,Chennai,1,1310,2026-04-07
C-0263,Retail-Plus,Bengaluru,1,3690,2026-08-21
C-0264,Retail-Plus,Mumbai,1,3540,2026-09-20
C-0265,Retail-Plus,Bengaluru,4,10700,2026-08-28
C-0266,Retail-Plus,Bengaluru,3,4960,2026-05-13
C-0267,Retail-Plus,Chennai,1,2200,2026-06-05
C-0268,Retail-Plus,Delhi,1,2100,2026-04-28
C-0269,Retail-Plus,Bengaluru,3,7970,2026-09-11
C-0270,Retail-Plus,Delhi,1,4330,2026-07-17
C-0271,Business,Delhi,6,5649000,2026-09-10
C-0272,Business,Pune,6,5224000,2026-09-16
C-0273,Business,Chennai,10,12545000,2026-09-24
C-0274,Business,Delhi,6,4752000,2026-08-18
C-0275,Business,Mumbai,10,9603000,2026-09-20
C-0276,Business,Chennai,10,9377000,2026-09-12
C-0277,Business,Bengaluru,4,4178000,2026-08-16
C-0278,Business,Delhi,3,4284000,2026-09-14
C-0279,Business,Delhi,8,6563000,2026-09-04
C-0280,Business,Delhi,10,8181000,2026-09-24
C-0281,Business,Delhi,5,3714000,2026-09-10
C-0282,Business,Hyderabad,11,6084000,2026-09-25
C-0283,Business,Chennai,10,10263000,2026-09-15
C-0284,Business,Delhi,4,3532000,2026-09-17
C-0285,Business,Bengaluru,2,2421000,2026-06-25
C-0286,Business,Delhi,4,22310600,2026-08-09
C-0287,Business,Chennai,3,1874000,2026-09-18
C-0288,Business,Delhi,4,3912000,2026-09-11
C-0289,Business,Delhi,3,3172000,2026-09-21
C-0290,Business,Delhi,6,5306000,2026-08-11
C-0291,Business,Pune,2,13395440,2026-05-02
C-0292,Business,Mumbai,2,668000,2026-09-07
C-0293,Business,Bengaluru,5,4950000,2026-09-27
C-0294,Business,Chennai,5,3705000,2026-08-08
C-0295,Business,Chennai,6,4441000,2026-08-14
C-0296,Business,Bengaluru,6,5330000,2026-08-07
C-0297,Business,Mumbai,1,1127000,2026-08-15
C-0298,Business,Hyderabad,1,880000,2026-04-01
C-0299,Business,Bengaluru,2,2649000,2026-05-27
C-0300,Business,Bengaluru,2,2978000,2026-09-23
C-0302,Business,Delhi,3,1974000,2026-08-05
C-0303,Business,Hyderabad,2,1536000,2026-08-13
C-0304,Business,Pune,3,2853000,2026-08-06
C-0305,Business,Chennai,3,2753000,2026-08-17
C-0306,Business,Pune,5,5174000,2026-09-28
C-0307,Business,Chennai,6,3284000,2026-08-18
C-0308,Business,Pune,4,2590000,2026-08-01
C-0309,Business,Chennai,2,1446000,2026-07-28
C-0310,Business,Chennai,3,1921000,2026-09-13
C-0311,Student,Chennai,3,2560,2026-09-05
C-0312,Student,Chennai,2,1360,2026-09-05
C-0313,Student,Chennai,3,2200,2026-08-15
C-0314,Student,Chennai,3,3380,2026-09-26
C-0315,Student,Pune,5,5690,2026-09-25
C-0316,Student,Delhi,5,3710,2026-09-27
C-0317,Student,Bengaluru,3,2450,2026-08-19
C-0319,Student,Bengaluru,5,5710,2026-09-16
C-0320,Student,Hyderabad,3,2630,2026-09-15
C-0322,Student,Chennai,2,1610,2026-07-01
C-0323,Student,Mumbai,4,3930,2026-07-24
C-0325,Student,Chennai,3,3580,2026-07-26
C-0326,Student,Hyderabad,1,1420,2026-04-01
C-0328,Student,Delhi,2,2090,2026-06-03
C-0329,Student,Mumbai,2,1820,2026-09-17
C-0331,Student,Bengaluru,1,1070,2026-05-18
C-0332,Student,Chennai,2,1340,2026-07-27
C-0333,Student,Bengaluru,3,3730,2026-05-27
C-0334,Student,Pune,2,2150,2026-08-25
C-0335,Student,Pune,2,1650,2026-09-21
C-0336,Student,Bengaluru,1,1100,2026-07-05
C-0337,Student,Chennai,2,2100,2026-08-04
C-0338,Student,Delhi,4,3590,2026-07-08
C-0340,Student,Mumbai,2,1620,2026-09-02
